['08/2010',0.89,0.04,354495995,245762694,645994742,1011761460,334225.60,1.717004869,206461846.1,143134535.3,376233494.5,589259517.1,194656.17]
['09/2010',0.85,0.45,361242172,253042067,664680415,1033984212,331255.90,1.724731391,209448366.2,146713898.9,385381989.6,599504489.4,192062.31]
['10/2010',0.81,0.75,365719671,257797436,671631353,1073820074,344963.80,1.737666876,210465927.6,148358376.1,386513296.7,617966589.9,198521.25]
['11/2010',0.81,0.83,371209621,259156712,688640478,1072813735,356707.50,1.752089512,211866813.1,147912940.7,393039552.8,612305323.4,203589.77]
['12/2010',0.93,0.63,379604273,285495051,720568121,1054349956,355797.40,1.763127675,215301636,161925341.5,408687431.5,597999776.6,201799.00]
['01/2011',0.86,0.83,382043990,274105675,728217725,1082217581,333255.60,1.777761635,214901695.7,154185842.2,409626189.8,608752916.9,187457.98]
['02/2011',0.84,0.8,383334105,263102101,749487475,1101211477,334982.00,1.791983728,213916063.5,146821702,418244576.2,614520913.1,186933.62]
['03/2011',0.92,0.79,385733263,259234847,777746758,1117092255,347879.60,1.8061404,213567706.6,143529731.7,430612569.3,618496909.3,192609.39]
['04/2011',0.84,0.77,386122941,257909268,788727598,1137065555,349049.30,1.820047681,212149904.1,141704676.6,433355458.9,624744926.8,191780.31]
['05/2011',0.99,0.47,387046563,256392040,811840361,1141802448,366256.20,1.828601905,211662561.4,140212060,443967797.9,624412806.8,200293.02]
['06/2011',0.96,0.15,389558700,257942770,833786482,1133682601,370951.20,1.831344808,212717287.5,140848828.1,455286453.1,619043773.9,202556.72]
['07/2011',0.97,0.16,398005681,260111822,847374286,1153465414,373143.30,1.834274959,216982562.5,141806341.9,461966883.2,628839971.9,203428.23]
['08/2011',1.07,0.37,402719240,257132582,872902461,1177730331,376769.30,1.841061777,218742926,139665374.2,474129913.5,639701690.6,204647.83]
['09/2011',0.94,0.53,409310509,260862382,892588677,1180278460,361724.60,1.850819404,221150971.3,140944265.8,482266759.8,637705903.3,195440.25]
['10/2011',0.88,0.43,412717601,263204853,898718897,1199882552,378491.00,1.858777928,222037067.9,141601021.3,483499875.7,645522272.6,203623.57]
['11/2011',0.86,0.52,414983459,262725379,918859435,1206026029,389560.80,1.868443573,222101146.1,140611888.3,491777995.5,645470939.8,208494.82]
['12/2011',0.91,0.5,420872648,287282888,936860177,1190142459,391595.10,1.877785791,224132406.4,152990234.3,498917491.9,633800971.8,208540.88]
['01/2012',0.89,0.56,423261828,276139561,934420143,1228410663,367215.40,1.888301391,224149508.1,146237016.1,494846928.2,650537392.4,194468.64]
['02/2012',0.75,0.45,425054072,268141408,942198418,1245399459,367177.30,1.896798747,224090232.3,141365238.9,496730831,656579650.7,193577.36]
['03/2012',0.82,0.21,429860852,264973099,953072785,1294665436,392996.50,1.900782025,226149472.4,139402149,501410878.6,681122516.5,206755.16]
['04/2012',0.71,0.64,434077045,265800884,943049014,1333154485,381795.30,1.91294703,226915350.1,138948376.4,492982293.5,696911343.7,199584.88]
['05/2012',0.74,0.36,442527440,266543035,958451623,1351711139,400281.30,1.919833639,230503013.9,138836527.1,499236810.7,704077223.9,208497.91]
['06/2012',0.64,0.08,449801588,270999075,968452487,1343236547,398714.50,1.921369506,234104677.2,141044746.6,504042811.1,699103708.5,207515.78]
['07/2012',0.68,0.43,460241954,276842883,967314006,1359801153,414617.40,1.929631395,238512886.6,143469309.1,501294707.7,704694770.5,214868.71]
['08/2012',0.69,0.41,465932010,274315205,975940980,1387293011,419906.30,1.937542884,240475714.9,141578907.7,503700324.9,716006351.5,216721.04]
