Data;2053 - Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governo Federal e Banco Central - u.m.c. (milhões);2054 - Dívida Líquida do Setor Público - Saldos em u.m.c. milhões - Total - Governo Federal - u.m.c. (milhões);4504 - Dívida Líquida do Setor Público (% PIB) - Total - Governo Federal - %
02/2009;751.727,35 ;785.523,66 ;25,08
03/2009;762.159,28 ;784.916,13 ;24,89
04/2009;789.076,06 ;810.182,90 ;25,61
05/2009;829.480,45 ;851.139,27 ;26,79
06/2009;845.869,65 ;867.950,87 ;27,23
07/2009;871.504,21 ;905.682,49 ;28,32
08/2009;878.172,58 ;912.781,60 ;28,42
09/2009;916.177,62 ;950.373,54 ;29,44
10/2009;921.382,50 ;956.518,33 ;29,41
11/2009;919.512,50 ;954.910,39 ;29,04
12/2009;932.535,29 ;971.724,23 ;29,15
01/2010;903.896,84 ;948.326,89 ;28,12
02/2010;926.827,67 ;971.834,29 ;28,47
03/2010;948.069,64 ;988.477,87 ;28,54
04/2010;951.442,44 ;993.646,50 ;28,30
05/2010;948.538,76 ;993.112,82 ;27,91
06/2010;956.157,06 ;1.002.689,11 ;27,82
07/2010;976.425,16 ;1.023.299,55 ;28,03
08/2010;985.808,53 ;1.034.551,51 ;27,95
09/2010;980.783,76 ;1.019.038,64 ;27,18
10/2010;979.357,14 ;1.019.026,28 ;26,88
11/2010;989.010,62 ;1.030.095,79 ;26,82
12/2010;1.001.116,78 ;1.044.518,15 ;26,88
01/2011;1.000.711,90 ;1.045.669,08 ;26,61
02/2011;1.014.687,71 ;1.062.416,83 ;26,71
03/2011;1.028.186,03 ;1.073.244,14 ;26,72
04/2011;1.037.957,72 ;1.084.394,89 ;26,72
05/2011;1.049.026,67 ;1.098.179,36 ;26,71
06/2011;1.060.880,54 ;1.112.485,93 ;26,75
07/2011;1.064.764,60 ;1.117.200,97 ;26,62
08/2011;1.068.430,65 ;1.111.732,31 ;26,22
09/2011;992.264,20 ;1.038.258,49 ;24,30
10/2011;1.045.548,10 ;1.092.661,34 ;25,38
11/2011;1.015.348,00 ;1.066.589,03 ;24,58
12/2011;1.009.191,85 ;1.061.808,61 ;24,26
01/2012;1.051.669,84 ;1.103.174,69 ;25,00
02/2012;1.072.325,15 ;1.122.851,53 ;25,24
03/2012;1.044.798,88 ;1.088.494,97 ;24,25
04/2012;1.017.171,81 ;1.061.936,56 ;23,49
05/2012;985.860,38 ;1.035.849,47 ;22,75
06/2012;990.833,09 ;1.044.473,62 ;22,78
07/2012;986.947,77 ;1.041.538,17 ;22,51
08/2012;998.020,56 ;1.058.907,70 ;22,67
09/2012;1.001.501,57 ;1.049.294,61 ;22,31
10/2012;1.003.346,15 ;1.054.999,37 ;22,20
11/2012;995.043,94 ;1.050.451,38 ;21,95
12/2012;1.002.204,69 ;1.061.857,96 ;22,05
01/2013;1.014.926,18 ;1.079.725,51 ;22,22
02/2013;1.045.396,84 ;1.112.300,00 ;22,75
03/2013;1.045.582,82 ;1.102.030,54 ;22,37
04/2013;1.051.448,78 ;1.112.520,53 ;22,31
05/2013;1.026.880,32 ;1.091.595,21 ;21,71
06/2013;1.020.523,62 ;1.087.256,07 ;21,46
07/2013;1.003.866,70 ;1.074.798,85 ;21,03
08/2013;996.840,18 ;1.070.029,33 ;20,80
09/2013;1.059.684,54 ;1.111.910,25 ;21,42
10/2013;1.070.861,12 ;1.129.924,31 ;21,59
11/2013;1.021.653,19 ;1.086.565,72 ;20,59
12/2013;1.025.357,79 ;1.090.393,26 ;20,45
01/2014;1.010.408,33 ;1.079.746,73 ;20,08
02/2014;1.049.860,99 ;1.118.690,91 ;20,59
03/2014;1.081.083,20 ;1.133.663,12 ;20,70
04/2014;1.081.398,88 ;1.134.444,21 ;20,59
05/2014;1.105.659,93 ;1.163.040,72 ;20,96
06/2014;1.136.284,02 ;1.192.936,90 ;21,40
07/2014;1.149.300,81 ;1.209.179,80 ;21,55
08/2014;1.186.859,50 ;1.246.139,44 ;22,09
09/2014;1.182.446,22 ;1.245.574,94 ;21,91
10/2014;1.197.411,22 ;1.270.256,76 ;22,22
11/2014;1.192.672,63 ;1.271.354,06 ;22,13
12/2014;1.200.679,58 ;1.272.707,44 ;22,02
01/2015;1.207.401,92 ;1.296.392,75 ;22,35
02/2015;1.189.108,19 ;1.280.795,88 ;22,04
03/2015;1.140.312,88 ;1.255.235,71 ;21,46
04/2015;1.190.414,25 ;1.307.305,17 ;22,28
05/2015;1.183.268,82 ;1.307.041,55 ;22,24
06/2015;1.238.357,26 ;1.353.481,53 ;22,91
07/2015;1.204.133,52 ;1.343.208,65 ;22,66
08/2015;1.166.551,72 ;1.318.563,81 ;22,18
09/2015;1.124.054,70 ;1.297.564,09 ;21,80
10/2015;1.183.371,67 ;1.355.761,60 ;22,73
11/2015;1.227.352,43 ;1.411.361,66 ;23,60
12/2015;1.312.961,73 ;1.500.582,44 ;25,03
01/2016;1.292.031,16 ;1.511.508,48 ;25,18
02/2016;1.399.516,92 ;1.627.008,54 ;27,00
03/2016;1.533.881,44 ;1.696.186,30 ;28,09
04/2016;1.575.573,76 ;1.732.017,89 ;28,57
05/2016;1.588.570,55 ;1.758.618,01 ;28,89
06/2016;1.746.541,89 ;1.898.646,18 ;31,03
07/2016;1.820.041,30 ;1.976.759,06 ;32,23
08/2016;1.836.057,82 ;1.993.853,80 ;32,35
09/2016;1.897.749,65 ;2.057.867,99 ;33,26
10/2016;1.918.936,31 ;2.074.501,67 ;33,43
11/2016;1.928.827,75 ;2.071.241,31 ;33,20
12/2016;2.090.132,66 ;2.247.463,59 ;35,85
01/2017;2.132.968,21 ;2.308.426,63 ;36,64
02/2017;2.193.846,89 ;2.371.349,28 ;37,51
03/2017;2.228.561,77 ;2.403.521,60 ;37,82
04/2017;2.229.953,97 ;2.407.694,44 ;37,79
05/2017;2.276.071,49 ;2.456.365,51 ;38,34
06/2017;2.308.535,83 ;2.482.902,91 ;38,63
07/2017;2.404.919,66 ;2.578.528,15 ;39,96
08/2017;2.442.449,73 ;2.620.832,40 ;40,46
09/2017;2.490.172,02 ;2.660.318,57 ;40,94
10/2017;2.480.654,67 ;2.655.280,94 ;40,68
11/2017;2.511.885,30 ;2.690.505,48 ;41,05
12/2017;2.534.118,80 ;2.715.958,20 ;41,24
01/2018;2.570.190,78 ;2.755.556,65 ;41,60
02/2018;2.587.014,29 ;2.776.111,78 ;41,73
03/2018;2.610.601,42 ;2.788.534,65 ;41,74
04/2018;2.580.417,00 ;2.761.224,58 ;41,02
05/2018;2.536.043,83 ;2.723.310,56 ;40,39
06/2018;2.550.506,75 ;2.746.860,00 ;40,49
07/2018;2.614.412,79 ;2.814.647,01 ;41,22
08/2018;2.549.295,08 ;2.748.393,23 ;40,00
09/2018;2.635.318,93 ;2.826.794,10 ;40,95
10/2018;2.739.822,10 ;2.930.663,26 ;42,19
11/2018;2.724.795,94 ;2.920.934,97 ;41,84
12/2018;2.763.702,35 ;2.961.823,44 ;42,29
01/2019;2.820.752,46 ;3.015.192,55 ;42,89
02/2019;2.837.054,27 ;3.043.253,62 ;43,06
03/2019;2.828.396,41 ;3.016.102,48 ;42,59
04/2019;2.835.881,64 ;3.026.697,53 ;42,58
05/2019;2.873.094,71 ;3.066.126,66 ;42,80
06/2019;2.922.568,84 ;3.121.257,84 ;43,49
07/2019;2.979.640,50 ;3.148.072,41 ;43,62
08/2019;2.903.771,35 ;3.202.380,07 ;44,19
09/2019;2.944.328,62 ;3.221.125,06 ;44,19
10/2019;3.003.316,76 ;3.237.113,93 ;44,18
11/2019;2.984.296,59 ;3.285.446,82 ;44,66
12/2019;3.078.019,06 ;3.323.913,97 ;44,98
01/2020;2.980.128,07 ;3.310.594,77 ;44,63
02/2020;2.946.934,21 ;3.361.566,30 ;45,11
03/2020;2.783.301,61 ;3.405.597,12 ;45,56
04/2020;2.815.307,93 ;3.521.334,50 ;47,45
05/2020;2.946.187,03 ;3.663.290,01 ;49,70
06/2020;3.139.436,80 ;3.879.965,21 ;52,65
07/2020;3.302.129,21 ;3.988.044,12 ;54,14
08/2020;3.340.502,98 ;3.766.889,18 ;51,18
09/2020;3.403.285,34 ;3.872.255,25 ;52,49
10/2020;3.403.574,52 ;3.912.652,41 ;52,96
11/2020;3.554.668,26 ;3.945.120,12 ;53,20
12/2020;3.651.459,54 ;4.018.630,30 ;53,81
01/2021;3.585.625,91 ;4.030.858,19 ;53,64
02/2021;3.628.716,76 ;4.078.667,61 ;53,80
03/2021;3.625.134,92 ;4.113.490,28 ;53,51
04/2021;3.676.545,11 ;4.103.728,90 ;52,32
05/2021;3.761.403,62 ;4.147.746,39 ;51,93
06/2021;3.925.077,67 ;4.241.470,40 ;52,32
07/2021;3.941.700,95 ;4.300.777,81 ;52,32
08/2021;3.995.521,56 ;4.346.930,88 ;52,15
09/2021;3.969.446,78 ;4.393.621,84 ;52,10
10/2021;3.938.553,03 ;4.417.142,71 ;51,87
11/2021;3.986.579,80 ;4.452.730,71 ;51,77
12/2021;4.029.713,09 ;4.479.219,91 ;51,64
Fonte;BCB-DSTAT;BCB-DSTAT;BCB-DSTAT
