;;;;;;;;;;;;;;;;;;;;;;;
;'DADOS DA COMPANHIA';;;;' INFORMAÇÕES DA OFERTA';;;;;' ANÚNCIO DE ENCERRAMENTO ';;;;;'PARTICIPAÇÃO DOS INVESTIDORES (%) ³';;;;;' VOLUME TOTAL (R$) ';;;
;'NOME DE PREGÃO';'LISTAGEM NA OFERTA';'CLASSIFICAÇÃO SETORIAL (SEGMENTO)';'COORDENADOR LÍDER';'CLASSIFICAÇÃO';'TIPO';'FIXAÇÃO DE PREÇO';'PREÇO POR AÇÃO / UNIT / BDR (LÇTO.)4';'INÍCIO DE NEGOCIAÇÃO';'Nº DE PESSOAS FÍSICAS';' Nº TOTAL DE INVESTIDORES ';' VOLUME PRIMÁRIA (R$) ';' VOLUME SECUNDÁRIA (R$) ';'VOLUME TOTAL (R$)';'VAREJO';'INSTITUCIONAL';'ESTRANGEIROS';'OUTROS';;'ANO';'IPO';'FOLLOW-ON';'TOTAL'
;'OSX BRASIL ';'NM';'MÁQUINAS E EQUIPAMENTOS';'CREDIT SUISSE';'IPO';'ICVM 400';18/3/2010;800.00;22/03/10;' 30 ';' 184 ';' 2.450.400.000 ';' - ';' 2.450.400.000 ';1%;2%;69%;28%;;;;;
;'GAFISA ¹';'NM';'CONSTRUÇÃO CIVIL';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';23/3/2010;12.50;25/03/10;' 2.488 ';' 2.910 ';' 1.063.750.000 ';' - ';' 1.063.750.000 ';6%;32%;62%;0%;;;;;
;'ECORODOVIAS';'NM';'EXPLORAÇÃO DE RODOVIAS';'ITAÚ BBA';'IPO';'ICVM 400';30/3/2010;9.50;01/04/10;' 1.982 ';' 2.647 ';' 874.000.000 ';' 494.028.500 ';' 1.368.028.500 ';5%;29%;51%;15%;;;;;
;'HYPERMARCAS';'NM';'PRODUTOS DIVERSOS';'CITI';'FOLLOW-ON';'ICVM 400';31/3/2010;21.00;05/04/10;' 2.697 ';' 3.616 ';' 1.232.616.000 ';' - ';' 1.232.616.000 ';8%;20%;72%;0%;;;;;
;'MILLS';'NM';'SERVIÇOS DIVERSOS';'ITAÚ BBA';'IPO';'ICVM 400';14/4/2010;11.50;16/04/10;' 1.086 ';' 1.358 ';' 425.925.926 ';' 259.814.808 ';' 685.740.734 ';3%;15%;77%;4%;;;;;
;'EVEN';'NM';'CONSTRUÇÃO CIVIL';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';15/4/2010;6.00;19/04/10;' 2.156 ';' 2.515 ';' 326.000.004 ';' 180.000.000 ';' 506.000.004 ';10%;33%;47%;10%;;;;;
;'JULIO SIMOES';'NM';'TRANSPORTE RODOVIÁRIO';'BRADESCO BBI';'IPO';'ICVM 400';19/4/2010;8.00;22/04/10;' 726 ';' 989 ';' 477.902.824 ';' - ';' 477.902.824 ';3%;15%;65%;17%;;;;;
;'JBS';'NM';'CARNES E DERIVADOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 400';27/4/2010;8.00;29/04/10;' 3.378 ';' 4.070 ';' 1.600.000.000 ';' - ';' 1.600.000.000 ';9%;56%;34%;1%;;;;;
;'BRASIL';'NM';'BANCOS';'BB INVESTIMENTOS';'FOLLOW-ON';'ICVM 400';30/6/2010;24.65;02/07/10;' 103.471 ';' 113.502 ';' 7.049.900.000 ';' 2.711.500.000 ';' 9.761.400.000 ';16%;43%;39%;2%;;;;;
;'RENOVA';'N2';'ENERGIA ELÉTRICA';'SANTANDER';'IPO';'ICVM 400';8/7/2010;15.00;13/07/10;' 579 ';' 619 ';' 160.707.000 ';' - ';' 160.707.000 ';9%;0%;2%;89%;;;;;
;'PETROBRAS';'BÁSICO';'EXPLORAÇÃO E/OU REFINO ';'BRADESCO BBI';'FOLLOW-ON';'ICVM 400';23/9/2010;28.16;27/09/10;' 104.109 ';' 112.827 ';' 120.248.558.770 ';' - ';' 120.248.558.770 ';3%;10%;20%;66%;;;;;
;'ESTACIO PART';'NM';'SERVIÇOS EDUCACIONAIS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 400';30/9/2010;19.00;04/10/10;' 1.173 ';' 1.701 ';' 62.326.156 ';' 623.261.560 ';' 685.587.716 ';9%;21%;70%;0%;;;;;
;'HRT PETROLEO';'NM';'EXPLORAÇÃO E/OU REFINO ';'CREDIT SUISSE';'IPO';'ICVM 400';21/10/2010;1.200.00;25/10/10;' 127 ';' 646 ';' 2.474.746.800 ';' 6.253.200 ';' 2.481.000.000 ';2%;13%;85%;0%;;;;;
;'LOPES BRASIL';'NM';'INTERMEDIAÇÃO IMOBILIÁRIA';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';21/10/2010;37.51;25/10/10;' 2.035 ';' 2.215 ';' 207.055.200 ';' - ';' 207.055.200 ';9%;26%;65%;0%;;;;;
;'BR INSURANCE';'NM';'CORRETORAS DE SEGUROS';'MORGAN STANLEY';'IPO';'ICVM 400';28/10/2010;1.350.00;01/11/10;' 70 ';' 472 ';' 348.097.500 ';' 296.527.500 ';' 644.625.000 ';5%;15%;80%;0%;;;;;
;'ANHANGUERA';'NM';'SERVIÇOS EDUCACIONAIS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';9/12/2010;36.70;13/12/10;' 2.124 ';' 2.484 ';' 844.100.000 ';' - ';' 844.100.000 ';9%;16%;75%;0%;;;;;
;'RAIA';'NM';'MEDICAMENTOS';'ITAÚ BBA';'IPO';'ICVM 400';16/12/2010;24.00;20/12/10;' 6.672 ';' 7.477 ';' 525.655.800 ';' 129.041.880 ';' 654.697.680 ';9%;26%;65%;0%;;;;;
;'AREZZO CO ';'NM';'TECIDOS. VESTUÁRIO E CALÇADOS';'ITAÚ BBA';'IPO';'ICVM 400';31/1/2011;19.00;02/02/11;' 8.992 ';' 9.799 ';' 195.588.242 ';' 370.220.605 ';' 565.808.847 ';8%;22%;70%;0%;;;;;
;'SIERRABRASIL ';'NM';'EXPLORAÇÃO DE IMÓVEIS ';'CREDIT SUISSE';'IPO';'ICVM 400';1/2/2011;20.00;03/02/11;' 3.389 ';' 3.739 ';' 465.020.860 ';' - ';' 465.020.860 ';9%;35%;55%;0%;;;;;
;'TECNISA ';'NM';'CONSTRUÇÃO CIVIL';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';1/2/2011;10.00;03/02/11;' 2.391 ';' 2.665 ';' 398.305.000 ';' - ';' 398.305.000 ';9%;39%;51%;0%;;;;;
;'AUTOMETAL ';'NM';'MATERIAL RODOVIÁRIO';'SANTANDER';'IPO';'ICVM 400';3/2/2011;14.00;07/02/11;' 3.545 ';' 3.837 ';' 440.752.200 ';' 13.559.420 ';' 454.311.620 ';9%;14%;64%;14%;;;;;
;'BR BROKERS ';'NM';'INTERMEDIAÇÃO IMOBILIÁRIA ';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';3/2/2011;7.90;07/02/11;' 2.729 ';' 2.874 ';' 189.303.553 ';' - ';' 189.303.553 ';9%;10%;81%;0%;;;;;
;'QGEP PART ';'NM';'EXPLORAÇÃO E/OU REFINO ';'ITAÚ BBA';'IPO';'ICVM 400';7/2/2011;19.00;09/02/11;' 8.896 ';' 9.722 ';' 1.515.079.361 ';' - ';' 1.515.079.361 ';12%;15%;72%;1%;;;;;
;'DIRECIONAL';'NM';'CONSTRUÇÃO CIVIL ';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';9/2/2011;11.00;11/02/11;' 1.162 ';' 1.336 ';' 228.800.000 ';' 79.200.000 ';' 308.000.000 ';11%;8%;81%;0%;;;;;
;'MAGNESITA SA';'NM';'MATERIAIS DIVERSOS ';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';11/2/2011;8.25;15/02/11;' 1.620 ';' 1.822 ';' 278.602.500 ';' - ';' 278.602.500 ';13%;34%;53%;0%;;;;;
;'IMC HOLDINGS';'NM';'RESTAURANTE E SIMILARES ';'BTG PACTUAL';'IPO';'ICVM 400';3/3/2011;13.50;09/03/11;' 669 ';' 775 ';' 320.515.988 ';' 133.079.733 ';' 453.595.721 ';3%;4%;93%;0%;;;;;
;'TIME FOR FUN';'NM';'PRODUÇÃO DE EVENTOS E SHOWS';'CREDIT SUISSE';'IPO';'ICVM 400';11/4/2011;16.00;13/04/11;' 900 ';' 1.041 ';' 187.586.208 ';' 315.476.128 ';' 503.062.336 ';4%;5%;91%;0%;;;;;
;'GERDAU';'N1';'SIDERURGIA';'BTG PACTUAL';'FOLLOW-ON';'ICVM 400';12/4/2011;18.34;14/04/11;' 10.579 ';' 12.141 ';' 3.719.719.767 ';' 1.265.229.454 ';' 4.984.949.221 ';8%;30%;39%;24%;;;;;
;'MAGAZ LUIZA';'NM';'ELETRODOMÉSTICOS';'ITAÚ BBA';'IPO';'ICVM 400';28/4/2011;16.00;02/05/11;' 34.496 ';' 36.995 ';' 583.911.472 ';' 302.469.264 ';' 886.380.736 ';21%;30%;47%;2%;;;;;
;'BR MALLS PAR ';'NM';'EXPLORAÇÃO DE IMÓVEIS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';10/5/2011;17.20;12/05/11;' 950 ';' 1.486 ';' 731.000.000 ';' - ';' 731.000.000 ';6%;23%;71%;0%;;;;;
;'BR PHARMA';'NM';'MEDICAMENTOS';'BTG PACTUAL';'IPO';'ICVM 400';22/6/2011;17.25;27/06/11;' 141 ';' 372 ';' 414.000.000 ';' - ';' 414.000.000 ';10%;33%;56%;0%;;;;;
;'QUALICORP';'NM';'SERV. MÉD. HOSPIT.. ANÁLISES E DIAGNÓSTICOS';'BOFA MERRILL LYNCH';'IPO';'ICVM 400';27/6/2011;13.00;29/06/11;' 807 ';' 997 ';' 353.852.577 ';' 731.295.305 ';' 1.085.147.882 ';2%;8%;90%;0%;;;;;
;'BR PROPERT ';'NM';'EXPLORAÇÃO DE IMÓVEIS ';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';28/6/2011;17.15;30/06/11;' 607 ';' 951 ';' 690.287.500 ';' - ';' 690.287.500 ';6%;25%;69%;1%;;;;;
;'TECHNOS';'NM';'ACESSÓRIOS';'ITAÚ BBA';'IPO';'ICVM 400';28/6/2011;16.50;01/07/11;' 586 ';' 739 ';' 180.608.109 ';' 280.945.946 ';' 461.554.055 ';6%;39%;55%;0%;;;;;
;'KROTON';'N2';'SERVIÇOS EDUCACIONAIS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';29/6/2011;19.25;01/07/11;' 413 ';' 587 ';' 380.229.850 ';' 15.400.000 ';' 395.629.850 ';8%;20%;72%;0%;;;;;
;'METAL LEVE';'NM';'MATERIAL RODOVIÁRIO';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';30/6/2011;41.00;05/07/11;' 377 ';' 619 ';' - ';' 305.766.315 ';' 305.766.315 ';9%;41%;38%;12%;;;;;
;'ENERGIAS BR';'NM';'ENERGIA ELÉTRICA';'SANTANDER';'FOLLOW-ON';'ICVM 400';7/7/2011;37.00;11/07/11;' 1.278 ';' 1.816 ';' - ';' 810.724.020 ';' 810.724.020 ';11%;29%;60%;0%;;;;;
;'ABRIL EDUCA';'N2';'JORNAIS. LIVROS E REVISTAS ';'CREDIT SUISSE';'IPO';'ICVM 400';21/7/2011;20.00;26/07/11;' 1.394 ';' 1.604 ';' 371.134.040 ';' - ';' 371.134.040 ';12%;36%;42%;10%;;;;;
;'TIM PART S/A';'NM';'TELEFONIA MÓVEL ';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';4/10/2011;8.60;06/10/11;' 650 ';' 988 ';' 1.722.221.965 ';' - ';' 1.722.221.965 ';2%;8%;21%;68%;;;;;
;'QUALICORP';'NM';'SERV. MÉD. HOSPIT.. ANÁLISES E DIAGNÓSTICOS';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';17/4/2012;16.50;18/04/12;' 731 ';' 1.077 ';' - ';' 758.544.452 ';' 758.544.452 ';6%;27%;66%;0%;;;;;
;'LOCAMERICA';'NM';'ALUGUEL DE CARROS';'ITAÚ BBA';'IPO';'ICVM 400';19/4/2012;9.00;23/04/12;' 239 ';' 391 ';' 163.636.362 ';' 109.343.196 ';' 272.979.558 ';5%;49%;46%;0%;;;;;
;'FIBRIA';'NM';'PAPEL E CELULOSE';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';24/4/2012;15.83;25/04/12;' 847 ';' 949 ';' 1.361.380.000 ';' - ';' 1.361.380.000 ';3%;6%;32%;59%;;;;;
;'BTG PACTUAL';'BÁSICO';'BANCOS';'BTG PACTUAL';'IPO';'ICVM 400';24/4/2012;31.25;26/04/12;' 6.122 ';' 7.221 ';' 2.587.500.000 ';' 646.875.000 ';' 3.234.375.000 ';10%;14%;68%;9%;;;;;
;'UNICASA';'NM';'MÓVEIS ';'BTG PACTUAL';'IPO';'ICVM 400';25/4/2012;14.00;27/04/12;' 774 ';' 1.040 ';' 127.909.096 ';' 297.687.082 ';' 425.596.178 ';4%;51%;45%;0%;;;;;
;'BR PHARMA';'NM';'MEDICAMENTO';'BTG PACTUAL';'FOLLOW-ON';'ICVM 400';21/6/2012;9.25;25/06/12;' 18 ';' 384 ';' 488.400.000 ';' 64.750.000 ';' 553.150.000 ';0%;32%;45%;23%;;;;;
;'SUZANO PAPEL';'N1';'PAPEL E CELULOSE';'BTG PACTUAL';'FOLLOW-ON';'ICVM 400';27/6/2012;4.00;29/06/12;' 281 ';' 484 ';' 1.463.368.856 ';' - ';' 1.463.368.856 ';12%;16%;10%;62%;;;;;
;'TAESA';'N2';'ENERGIA ELÉTRICA';'BTG PACTUAL';'FOLLOW-ON';'ICVM 400';19/7/2012;65.00;20/07/12;' 1.547 ';' 2.184 ';' 1.755.000.000 ';' - ';' 1.755.000.000 ';4%;32%;55%;10%;;;;;
;'MINERVA';'NM';'CARNES E DERIVADOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 400';28/11/2012;11.00;30/11/12;' 1.142 ';' 1.483 ';' 415.391.900 ';' 82.500.000 ';' 497.891.900 ';10%;42%;44%;5%;;;;;
;'MARFRIG';'NM';'CARNES E DERIVADOS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';4/12/2012;8.00;06/12/12;' 2.439 ';' 2.881 ';' 1.050.000.000 ';' - ';' 1.050.000.000 ';3%;25%;54%;18%;;;;;
;'EQUATORIAL';'NM';'ENERGIA ELÉTRICA';'BTG PACTUAL';'FOLLOW-ON';'ICVM 400';7/12/2012;16.00;10/12/12;' 3.146 ';' 3.554 ';' 1.210.113.984 ';' 210.454.608 ';' 1.420.568.592 ';7%;51%;42%;0%;;;;;
;'ALIANSCE';'NM';'EXPLORAÇÃO DE IMÓVEIS ';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';12/12/2012;23.25;14/12/12;' 3.613 ';' 3.998 ';' 447.629.693 ';' - ';' 447.629.693 ';11%;36%;52%;0%;;;;;
;'ESTACIO PART';'NM';'SERVIÇOS EDUCACIONAIS';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';23/1/2013;42.00;28/01/13;' 6.213 ';' 6.708 ';' 616.858.200 ';' 151.826.346 ';' 768.684.546 ';10%;34%;55%;0%;;;;;
;'LINX';'NM';'PROGRAMAS E SERVIÇOS';'CREDIT SUISSE';'IPO';'ICVM 400';6/2/2013;27.00;08/02/13;' 6.247 ';' 6.923 ';' 343.102.500 ';' 184.747.500 ';' 527.850.000 ';11%;27%;62%;0%;;;;;
;'SENIOR SOL';'MA';'PROGRAMAS E SERVIÇOS';'BANCO VOTORANTIM';'IPO';'ICVM 400';6/3/2013;11.50;08/03/13;' 1.221 ';' 1.318 ';' 39.655.163 ';' 17.806.830 ';' 57.461.993 ';31%;45%;13%;11%;;;;;
;'MULTIPLAN';'N2';'EXPLORAÇÃO DE IMÓVEIS';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';27/3/2013;58.00;01/04/13;' 8.158 ';' 8.887 ';' 626.400.000 ';' - ';' 626.400.000 ';10%;25%;50%;15%;;;;;
;'BIOSEV';'NM';'AÇÚCAR E ÁLCOOL';'BTG PACTUAL';'IPO';'ICVM 400';15/4/2013;15.00;19/04/13;' 890 ';' 961 ';' 700.000.005 ';' - ';' 700.000.005 ';2%;21%;77%;0%;;;;;
;'BHG';'NM';'HOTELARIA';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';18/4/2013;17.50;22/04/13;' 3.776 ';' 3.963 ';' 355.490.520 ';' - ';' 355.490.520 ';19%;20%;59%;2%;;;;;
;'ALUPAR';'N2';'ENERGIA ELÉTRICA';'ITAÚ BBA';'IPO';'ICVM 400';22/4/2013;18.50;24/04/13;' 4.935 ';' 5.310 ';' 821.226.100 ';' - ';' 821.226.100 ';15%;30%;55%;1%;;;;;
;'ABRIL EDUCA';'N2';'JORNAIS. LIVROS E REVISTAS ';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';24/4/2013;45.00;26/04/13;' 3.026 ';' 3.269 ';' 126.673.920 ';' 395.222.535 ';' 521.896.455 ';12%;30%;54%;4%;;;;;
;'BB SEGURIDADE';'NM';'SEGURADORAS';'BB INVESTIMENTOS';'IPO';'ICVM 400';25/4/2013;17.00;29/04/13;' 103.359 ';' 114.335 ';' - ';' 11.475.000.000 ';' 11.475.000.000 ';16%;23%;58%;3%;;;;;
;'SMILES';'NM';'PROGRAMAS DE FIDELIZAÇÃO ';'CREDIT SUISSE';'IPO';'ICVM 400';25/4/2013;21.70;29/04/13;' 3.655 ';' 4.096 ';' 1.132.173.890 ';' - ';' 1.132.173.890 ';9%;14%;40%;36%;;;;;
;'IGUATEMI';'NM';'EXPLORAÇÃO DE IMÓVEIS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';4/6/2013;23.50;06/06/13;' 1.892 ';' 2.082 ';' 425.364.100 ';' - ';' 425.364.100 ';10%;21%;58%;11%;;;;;
;'CPFL RENOVAV';'NM';'ENERGIA ELÉTRICA';'BOFA MERRILL LYNCH';'IPO';'ICVM 400';17/7/2013;12.51;19/07/13;' 1.260 ';' 1.321 ';' 364.687.304 ';' 549.999.998 ';' 914.687.302 ';3%;45%;25%;28%;;;;;
;'TUPY';'NM';'MATERIAL RODOVIÁRIO';'CITI';'FOLLOW-ON';'ICVM 400';16/10/2013;17.50;18/10/13;' 322 ';' 517 ';' 523.250.000 ';' - ';' 523.250.000 ';6%;40%;55%;0%;;;;;
;'ANIMA';'NM';'SERVIÇOS EDUCACIONAIS';'ITAÚ BBA';'IPO';'ICVM 400';24/10/2013;18.50;28/10/13;' 1.218 ';' 1.487 ';' 426.020.572 ';' 78.036.349 ';' 504.056.920 ';9%;40%;51%;1%;;;;;
;'SER EDUCA';'NM';'SERVIÇOS EDUCACIONAIS';'BTG PACTUAL';'IPO';'ICVM 400';25/10/2013;17.50;29/10/13;' 1.059 ';' 1.311 ';' 309.714.090 ';' 309.714.090 ';' 619.428.180 ';3%;39%;58%;0%;;;;;
;'CVC BRASIL';'NM';'VIAGENS E TURISMO';'ITAÚ BBA';'IPO';'ICVM 400';5/12/2013;16.00;09/12/13;' 2.316 ';' 2.540 ';' - ';' 541.465.600 ';' 541.465.600 ';9%;42%;48%;0%;;;;;
;'VIAVAREJO';'N2';'ELETRODOMÉSTICOS';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 400';12/12/2013;23.00;16/12/13;' 1.431 ';' 1.826 ';' - ';' 2.845.030.632 ';' 2.845.030.632 ';1%;24%;75%;0%;;;;;
;'OI¹';'N1';'TELEFONIA FIXA';'BTG PACTUAL';'FOLLOW-ON';'ICVM 400';28/4/2014;2.06;30/04/14;' 3.429 ';' 4.369 ';' 13.959.899.999 ';' - ';' 13.959.899.999 ';1%;12%;41%;46%;;;;;
;'OUROFINO S/A';'NM';'MEDICAMENTOS E OUTROS PRODUTOS';'JP MORGAN';'IPO';'ICVM 400';17/10/2014;27.00;21/10/14;' 2.570 ';' 2.922 ';' 106.442.289 ';' 311.538.474 ';' 417.980.763 ';10%;22%;20%;48%;;;;;
;'TELEF BRASIL¹';'BÁSICO';'TELEFONIA FIXA';'ITAÚ BBA';'FOLLOW-ON';'ICVM 400';27/4/2015;44.15;29/04/15;' 956 ';' 1.850 ';' 16.107.285.059 ';' - ';' 16.107.285.059 ';0%;8%;70%;22%;;;;;
;'PARCORRETORA';'NM';'CORRETORAS DE SEGUROS';'BRADESCO BBI';'IPO';'ICVM 400';2/6/2015;12.33;05/06/15;' 3.693 ';' 4.527 ';' - ';' 602.800.014 ';' 602.800.014 ';10%;37%;52%;1%;;;;;
;'VALID';'NM';'SERVIÇOS DIVERSOS ';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';22/9/2015;44.00;23/09/15;' 42 ';' 449 ';' 396.000.000 ';' - ';' 396.000.000 ';1%;28%;70%;0%;;;;;
;'GENERALSHOPP';'NM';'EXPLORAÇÃO DE IMÓVEIS ';'SANTANDER';'FOLLOW-ON';'ICVM 476';14/9/2015;3.99;01/10/15;' - ';' 1 ';' 57.932.406 ';' - ';' 57.932.406 ';0%;0%;0%;100%;;;;;
;'GERDAU MET';'N1';'SIDERURGIA';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';17/11/2015;1.80;19/11/15;' 225 ';' 558 ';' 900.000.000 ';' - ';' 900.000.000 ';4%;35%;25%;36%;;;;;
;'BR PHARMA';'NM';'MEDICAMENTOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';19/1/2016;3.78;02/02/16;' - ';' 1 ';' 400.000.001 ';' - ';' 400.000.001 ';0%;0%;0%;100%;;;;;
;'MERC INVEST';'BÁSICO';'BANCOS';'BANCO VOTORANTIM';'FOLLOW-ON';'ICVM 476';10/3/2016;0.33;11/03/16;' - ';' 5 ';' 190.474.337 ';' - ';' 190.474.337 ';0%;0%;0%;100%;;;;;
;'RUMO LOG';'NM';'TRANSPORTE FERROVIÁRIO';'SANTANDER';'FOLLOW-ON';'ICVM 476';7/4/2016;2.50;08/04/16;' 30 ';' 407 ';' 2.600.000.000 ';' - ';' 2.600.000.000 ';0%;12%;48%;41%;;;;;
;'FRAS-LE';'N1';'MATERIAL RODOVIÁRIO';'SANTANDER';'FOLLOW-ON';'ICVM 476';8/4/2016;3.24;25/04/16;' 15 ';' 60 ';' 300.000.001 ';' - ';' 300.000.001 ';2%;42%;3%;53%;;;;;
;'ENERGISA';'N2';'ENERGIA ELÉTRICA';'CITI';'FOLLOW-ON';'ICVM 400';27/7/2016;18.50;28/07/16;' 1.824 ';' 2.560 ';' 1.535.962.500 ';' - ';' 1.535.962.500 ';10%;35%;54%;1%;;;;;
;'CVC BRASIL';'NM';'VIAGENS E TURISMO';'BOFA MERRILL LYNCH';'FOLLOW-ON';'ICVM 476';10/8/2016;20.50;16/08/16;' 2 ';' 714 ';' - ';' 1.230.000.000 ';' 1.230.000.000 ';0%;34%;65%;1%;;;;;
;'LINX';'NM';'PROGRAMAS E SERVIÇOS';'BTG PACTUAL';'FOLLOW-ON';'ICVM 476';26/9/2016;18.50;28/09/16;' 1 ';' 342 ';' 444.000.000 ';' - ';' 444.000.000 ';0%;29%;71%;0%;;;;;
;'TAESA';'N2';'ENERGIA ELÉTRICA';'BOFA MERRILL LYNCH';'FOLLOW-ON';'ICVM 476';18/10/2016;19.65;24/10/16;' - ';' 684 ';' - ';' 1.291.048.820 ';' 1.291.048.820 ';0%;32%;68%;0%;;;;;
;'ALLIAR';'NM';'SERVIÇOS MÉDICOS HOSPITALARES. ANÁLISES E DIAGNÓSTICOS';'ITAÚ BBA';'IPO';'ICVM 400';26/10/2016;20.00;28/10/16;' 1.771 ';' 2.035 ';' 279.069.780 ';' 395.127.820 ';' 674.197.600 ';9%;37%;53%;1%;;;;;
;'SANEPAR';'N2';'ÁGUA E SANEAMENTO';'BRADESCO BBI';'FOLLOW-ON';'ICVM 400';19/12/2016;9.50;21/12/16;' 1.310 ';' 1.757 ';' 257.592.187 ';' 1.717.571.453 ';' 1.975.163.639 ';9%;51%;39%;1%;;;;;
;'MOVIDA';'NM';'ALUGUEL DE CARROS';'BRADESCO BBI';'IPO';'ICVM 400';6/2/2017;7.50;08/02/17;' 1.096 ';' 1.373 ';' 535.955.055 ';' 64.128.735 ';' 600.083.790 ';9%;31%;45%;15%;;;;;
;'IHPARDINI';'NM';'SERVIÇOS MÉDICOS HOSPITALARES. ANÁLISES E DIAGNÓSTICOS';'ITAÚ BBA';'IPO';'ICVM 400';10/2/2017;19.00;14/02/17;' 4.616 ';' 5.042 ';' 187.272.151 ';' 690.396.673 ';' 877.668.824 ';10%;48%;41%;1%;;;;;
;'CCR SA ';'NM';'EXPLORAÇÃO DE RODOVIAS';'BRADESCO BBI';'FOLLOW-ON';'ICVM 476';9/2/2017;16.00;10/02/17;' - ';' 396 ';' 4.070.604.800 ';' - ';' 4.070.604.800 ';0%;13%;68%;19%;;;;;
;'LOJAS AMERIC';'BÁSICO';'PRODUTOS DIVERSOS';'CREDIT SUISSE';'FOLLOW-ON';'ICVM 476';8/3/2017;15.80;10/03/17;' - ';' 1.203 ';' 2.405.053.617 ';' - ';' 2.405.053.617 ';0%;39%;47%;14%;;;;;
;'ALUPAR';'N2';'ENERGIA ELÉTRICA';'SANTANDER';'FOLLOW-ON';'ICVM 476';4/4/2017;6.50;06/04/17;' 150 ';' 811 ';' 833.462.494 ';' - ';' 833.462.494 ';0%;45%;55%;0%;;;;;
;'AZUL¹';'N2';'TRANSPORTE AÉREO';'ITAÚ BBA';'IPO';'ICVM 400';10/4/2017;21.00;11/04/17;' 1.517 ';' 1.753 ';' 1.323.000.000 ';' 698.036.577 ';' 2.021.036.577 ';6%;8%;86%;0%;;;;;
;'SANTANDER BR ¹';'BÁSICO';'BANCOS';'BOFA MERRILL LYNCH';'FOLLOW-ON';'ICVM 476';6/4/2017;25.00;06/04/17;' - ';' 157 ';' - ';' 2.000.000.000 ';' 2.000.000.000 ';0%;19%;81%;0%;;;;;
;'BR MALLS PAR';'NM';'EXPLORAÇÃO DE IMÓVEIS';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';24/5/2017;11.00;24/05/17;' 53 ';' 536 ';' 1.730.088.492 ';' - ';' 1.730.088.492 ';0%;33%;66%;0%;;;;;
;'BR PROPERT';'NM';'EXPLORAÇÃO DE IMÓVEIS ';'ITAÚ BBA';'FOLLOW-ON';'ICVM 476';29/6/2017;8.75;03/07/17;' 12 ';' 179 ';' 952.934.929 ';' - ';' 952.934.929 ';0%;4%;96%;0%;;;;;
;'CARREFOUR BR';'NM';'ALIMENTOS';'ITAÚ BBA';'IPO';'ICVM 400';18/7/2017;15.00;20/07/17;' 4.068 ';' 4.839 ';' 3.088.235.295 ';' 1.884.470.475 ';' 4.972.705.770 ';5%;32%;63%;1%;;;;;
;'BIOTOSCANA';'BDR';'MEDICAMENTOS E OUTROS PRODUTOS';'JP MORGAN';'IPO';'ICVM 400';18/7/2017;26.50;25/07/17;' 4.295 ';' 4.661 ';' 424.000.000 ';' 917.562.500 ';' 1.341.562.500 ';10%;22%;68%;0%;;;;;
;'IRBBRASIL RE';'NM';'SEGURADORAS';'BRADESCO BBI';'IPO';'ICVM 400';27/7/2017;27.24;31/07/17;' 7.324 ';' 7.879 ';' - ';' 2.003.610.960 ';' 2.003.610.960 ';10%;27%;63%;0%;;;;;
;'OMEGA GER';'NM';'ENERGIA ELÉTRICA';'BTG PACTUAL';'IPO';'ICVM 400';27/7/2017;15.60;31/07/17;' 776 ';' 1.017 ';' 538.538.504 ';' 250.637.962 ';' 789.176.466 ';4%;59%;25%;12%;;;;;
