DADOS DA COMPANHIA;;;; INFORMAÇÕES DA OFERTA;;;;; ANÚNCIO DE ENCERRAMENTO ;;;;;PARTICIPAÇÃO DOS INVESTIDORES (%) ³;;;
NOME DE PREGÃO;LISTAGEM NA OFERTA;CLASSIFICAÇÃO SETORIAL (SEGMENTO);COORDENADOR LÍDER;CLASSIFICAÇÃO;TIPO;FIXAÇÃO DE PREÇO;PREÇO POR AÇÃO / UNIT / BDR (LÇTO)4;INÍCIO DE NEGOCIAÇÃO;Nº DE PESSOAS FÍSICAS; Nº TOTAL DE INVESTIDORES ; VOLUME PRIMÁRIA (R$) ; VOLUME SECUNDÁRIA (R$) ;VOLUME TOTAL (R$);VAREJO;INSTITUCIONAL;ESTRANGEIROS;OUTROS
MMX MINER;NM;Minerais Metálicos;Pactual;IPO;ICVM 400;20/7/2006;815.00;24/07/06; 17 ; 110 ; 1118895570 ; - ; 1118895570 ;0%;11%;76%;13%
ABYARA;NM;Construção Civil;Morgan Stanley;IPO;ICVM 400;25/7/2006;25.00;27/07/06; 6 ; 37 ; 163770250 ; - ; 163770250 ;1%;4%;83%;12%
CESP;N1;Energia Elétrica;UBS;FOLLOW-ON;ICVM 400;27/7/2006;0.01;28/07/06; 3036 ; 4049 ; 3200000000 ; - ; 3200000000 ;2%;25%;30%;42%
MEDIAL SAUDE;NM;Serv Méd Hospit. Análises e Diagnósticos;Credit Suisse;IPO;ICVM 400;20/9/2006;21.50;22/09/06; 3061 ; 3596 ; 474075000 ; 268212328 ; 742287328 ;7%;17%;76%;1%
ELETROPAULO;N2;Energia Elétrica;Credit Suisse;FOLLOW-ON;ICVM 400;21/9/2006;0.09;25/09/06; 3660 ; 4478 ; - ; 1345481065 ; 1345481065 ;9%;30%;60%;1%
KLABINSEGALL;NM;Construção Civil;Deutsche Bank;IPO;ICVM 400;5/10/2006;15.00;09/10/06; 4624 ; 5131 ; 360573750 ; 166773750 ; 527347500 ;9%;26%;65%;0%
SANTOS BRAS;N2;Serviços de Apoio e Armazenagem;Credit Suisse;IPO;ICVM 400;10/10/2006;23.00;13/10/06; 4209 ; 4873 ; 924968759 ; 8433341 ; 933402100 ;8%;14%;77%;0%
MDIASBRANCO;NM;Alimentos Diversos;Pactual;IPO;ICVM 400;16/10/2006;21.00;18/10/06; 3363 ; 3737 ; - ; 410766300 ; 410766300 ;8%;20%;71%;1%
PERDIGAO S/A;NM;Carnes e Derivados;Credit Suisse;FOLLOW-ON;ICVM 400;26/10/2006;25.00;27/10/06; 4212 ; 4917 ; 800000000 ; - ; 800000000 ;7%;14%;47%;31%
BRASCAN RES;NM;Construção Civil;Credit Suisse;IPO;ICVM 400;19/10/2006;16.00;23/10/06; 4272 ; 4735 ; 940000000 ; 248000000 ; 1188000000 ;7%;5%;87%;0%
PROFARMA;NM;Medicamentos;Credit Suisse;IPO;ICVM 400;24/10/2006;22.50;26/10/06; 4514 ; 4995 ; 310500000 ; 90562500 ; 401062500 ;9%;21%;70%;0%
TERNA PART;N2;Energia Elétrica;Itaú BBA;IPO;ICVM 400;25/10/2006;21.00;27/10/06; 6258 ; 7326 ; 371360304 ; 255310209 ; 626670513 ;8%;23%;65%;4%
ECODIESEL;NM;Exploração e/ou Refino;Banco Fator;IPO;ICVM 400;9/11/2006;12.00;22/11/06; 9315 ; 9841 ; 378932220 ; - ; 378932220 ;9%;23%;59%;9%
ODONTOPREV;NM;Serv Méd Hospit. Análises e Diagnósticos;Itaú BBA;IPO;ICVM 400;29/11/2006;28.00;01/12/06; 8675 ; 9772 ; 161913052 ; 360118192 ; 522031244 ;9%;26%;63%;3%
POSITIVO INF;NM;Computadores e Equipamentos;UBS;IPO;ICVM 400;7/12/2006;23.50;11/12/06; 18466 ; 19543 ; 65800000 ; 538312150 ; 604112150 ;9%;25%;64%;1%
SAO CARLOS;NM;Exploração de Imóveis;Credit Suisse;FOLLOW-ON;ICVM 400;12/12/2006;19.50;14/12/06; 6445 ; 6821 ; 341250000 ; 139670018 ; 480920018 ;10%;10%;75%;5%
LOPES BRASIL;NM;Intermediação Imobiliária;UBS;IPO;ICVM 400;14/12/2006;20.00;18/12/06; 9803 ; 10438 ; - ; 474720000 ; 474720000 ;11%;18%;71%;0%
DUFRYBRAS;BDR;Produtos Diversos;UBS;IPO;ICVM 400;18/12/2006;26.84;20/12/06; 10039 ; 10805 ; - ; 849754937 ; 849754937 ;10%;21%;69%;0%
